Active_location,avg_ToSun,avg_ToShade,avg_Tsurface_open,avg_radiation,mean_de,n_hours,Round_percentage,Round_Percentage,season,habitat_loss,climate_change
burrow,48.80454814,41.94545873,46.53907447,597.929606,NA,470,0.662905501,66.29055007,Summer,Rock,0
Veg-Large,43.21888549,34.52496817,39.92521044,575.006532,0.557213902,33,0.046544429,4.654442877,Summer,Rock,0
Veg-Medium,43.59545643,35.39090633,40.41851661,514.3497251,1.235974655,97,0.136812412,13.68124118,Summer,Rock,0
Veg-Small,46.44921171,37.11075392,42.51727053,733.1413345,0.813065499,46,0.064880113,6.488011283,Summer,Rock,0
open,35.34117958,32.96023997,34.07561287,234.2093886,0.920241977,63,0.088857546,8.885754584,Summer,Rock,0
