Active_location,avg_ToSun,avg_ToShade,avg_Tsurface_open,avg_radiation,mean_de,n_hours,Round_percentage,Round_Percentage,season,habitat_loss,climate_change
burrow,47.43944824,40.5786722,45.38455,454.0469846,NA,250,0.353107345,35.31073446,Summer,Bush,0
open,35.15393678,33.16286242,34.55982026,297.1671804,0.841848536,51,0.072033898,7.203389831,Summer,Bush,0
Rock-Large,47.95807672,36.9848389,45.36700072,636.267756,1.103412475,232,0.327683616,32.76836158,Summer,Bush,0
Rock-Medium,46.98204092,35.61164352,44.29184568,711.3361926,0.947088203,135,0.190677966,19.06779661,Summer,Bush,0
Rock-Small,44.5908609,34.55077518,42.56077083,621.251625,0.695379061,40,0.056497175,5.649717514,Summer,Bush,0
