Active_location,avg_ToSun,avg_ToShade,avg_Tsurface_open,avg_radiation,mean_de,n_hours,Round_percentage,Round_Percentage,season,habitat_loss,climate_change
burrow,48.50457984,42.38328456,46.61635041,495.1443154,NA,296,0.366790582,36.67905824,Summer,none,0
Vegetation-Large,40.50956909,34.64887363,38.57827899,425.9401449,0.717932234,23,0.02850062,2.850061958,Summer,none,0
Vegetation-Medium,39.24459094,33.2461999,37.316875,439.0046389,0.111795111,10,0.012391574,1.239157373,Summer,none,0
Vegetation-Small,38.27122395,33.88841152,36.53733333,395.4387828,0.500876246,22,0.027261462,2.726146221,Summer,none,0
open,35.01850229,36.29941065,35.06278337,106.8658756,1.659393844,87,0.107806691,10.78066914,Summer,none,0
Rock-Large,47.37405951,37.14471501,44.81959352,612.5260617,2.068629727,199,0.246592317,24.65923172,Summer,none,0
Rock-Medium,43.10234498,35.52336534,40.35546616,604.380516,1.531305953,142,0.175960347,17.5960347,Summer,none,0
Rock-Small,41.48351286,34.3091878,39.15674603,516.5500248,0.644688564,28,0.034696406,3.469640644,Summer,none,0
