"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","season","climate_change"
"2020-07-05 09:00:00","Rock-Small",41.2808333333333,47.9168108702442,37.8374638423761,739.300833333333,3.84442454823337,"Summer",3
"2020-07-05 10:00:00","burrow",44.7825,52.0839163153611,39.0187934122563,882.115833333333,NA,"Summer",3
"2020-07-05 11:00:00","burrow",48.1983333333333,55.8094125594585,40.2539903891571,969.559166666667,NA,"Summer",3
"2020-07-05 12:00:00","burrow",50.1983333333333,57.8726053954229,41.5008206559281,1004.39833333333,NA,"Summer",3
"2020-07-05 13:00:00","burrow",50.2258333333333,57.7674602461597,42.5375451793178,970.575833333333,NA,"Summer",3
"2020-07-05 14:00:00","burrow",48.5408333333333,55.6975489766995,43.5475880935609,873.803333333333,NA,"Summer",3
"2020-07-05 15:00:00","burrow",45.6383333333333,52.1380286785384,44.467098357484,723.263333333333,NA,"Summer",3
"2020-07-05 16:00:00","burrow",42.9158333333333,48.4034366215272,45.0026773881932,541.765833333333,NA,"Summer",3
"2020-07-05 17:00:00","burrow",41.3916666666667,45.6019727428949,45.2224103533235,340.395833333333,NA,"Summer",3
"2020-07-05 18:00:00","burrow",38.7916666666667,41.8290291023036,44.0494340606249,135.148333333333,NA,"Summer",3
"2020-07-05 19:00:00","burrow",36.7811111111111,39.2075768886416,42.8198667900081,16.7633333333333,NA,"Summer",3
"2020-07-06 05:00:00","open",30.465,33.1500496019671,34.5843506355738,28.38,0.036619150692097,"Summer",3
"2020-07-06 06:00:00","open",31.4091666666667,34.5770203790774,34.7181106207137,106.8975,0.446904470954898,"Summer",3
"2020-07-06 07:00:00","Rock-Small",34.3208333333333,38.6471175209063,35.4264044884028,302.866666666667,1.31447262444336,"Summer",3
"2020-07-06 08:00:00","Rock-Small",36.6675,42.233222291782,36.3971754467582,509.2425,2.3251312277094,"Summer",3
"2020-07-06 09:00:00","Rock-Small",40.1616666666667,46.7715417505131,37.628332880689,701.476666666667,3.79132223239773,"Summer",3
"2020-07-06 10:00:00","burrow",42.8741666666667,50.33378166442,38.65219130486,856.235833333333,NA,"Summer",3
"2020-07-06 11:00:00","burrow",44.7275,52.7066904128881,39.7705473192132,952.335833333333,NA,"Summer",3
"2020-07-06 12:00:00","burrow",46.2125,54.3371078717115,40.3221687338755,982.560833333333,NA,"Summer",3
"2020-07-06 13:00:00","burrow",46.6291666666667,54.6035568585102,41.4061668738821,951.798333333333,NA,"Summer",3
"2020-07-06 14:00:00","burrow",46.5325,53.9468322861697,42.6466957598596,858.285833333333,NA,"Summer",3
"2020-07-06 15:00:00","burrow",44.9333333333333,51.4843552740272,43.6603898728243,703.065,NA,"Summer",3
"2020-07-06 16:00:00","burrow",43.6075,49.0887178537255,44.3420585868856,534.321666666667,NA,"Summer",3
"2020-07-06 17:00:00","burrow",41.2666666666667,45.5551608944089,44.3694583524626,332.9925,NA,"Summer",3
"2020-07-06 18:00:00","burrow",39.1066666666667,42.1578127425273,43.6225565163565,136.858333333333,NA,"Summer",3
"2020-07-06 19:00:00","burrow",37.06,39.344111025246,42.2370131387595,16.4444444444444,NA,"Summer",3
"2020-07-07 05:00:00","Rock-Large",29.52,32.1864294063676,33.8161380889313,32.42,0.316531180723246,"Summer",3
"2020-07-07 06:00:00","open",30.655,33.8301962268839,34.1282282755963,119.4475,0.0273190445859512,"Summer",3
"2020-07-07 07:00:00","Rock-Small",33.7458333333333,38.0461058114145,34.6407473052785,312.389166666667,0.651133984988867,"Summer",3
"2020-07-07 08:00:00","Rock-Small",36.1075,41.7451540528898,35.6840480395763,533.259166666667,1.65782034619357,"Summer",3
"2020-07-07 09:00:00","Rock-Small",40.38,46.9888061505338,37.2762573743887,723.825833333333,3.42233822744937,"Summer",3
"2020-07-07 10:00:00","burrow",45.0033333333333,52.319422252808,38.4900368697317,880.876666666667,NA,"Summer",3
"2020-07-07 11:00:00","burrow",48.6291666666667,56.2568563754949,39.5783272595321,970.759166666667,NA,"Summer",3
"2020-07-07 12:00:00","burrow",50.3383333333333,58.0846546068908,40.7201609690197,1008.04916666667,NA,"Summer",3
"2020-07-07 13:00:00","burrow",50.8783333333333,58.428186236466,41.7840919097172,975.686666666667,NA,"Summer",3
"2020-07-07 14:00:00","burrow",48.6608333333333,55.8877194750437,42.8750279945548,883.4825,NA,"Summer",3
"2020-07-07 15:00:00","burrow",45.4941666666667,52.0553720246014,43.7109589815395,731.636666666667,NA,"Summer",3
"2020-07-07 16:00:00","burrow",42.945,48.4716534022538,44.124621773853,545.699166666667,NA,"Summer",3
"2020-07-07 17:00:00","burrow",40.5866666666667,44.9394693476915,44.1453336902441,345.2,NA,"Summer",3
"2020-07-07 18:00:00","burrow",38.9308333333333,41.9996584471072,43.8867065380298,141.429166666667,NA,"Summer",3
"2020-07-07 19:00:00","burrow",36.7875,39.0659191912551,42.3982058123271,15.1858333333333,NA,"Summer",3
"2020-07-08 05:00:00","Rock-Medium",28.835,31.2862559485799,34.9902075840954,35.085,1.4847170644563,"Summer",3
"2020-07-08 06:00:00","open",30.6066666666667,33.6080827906315,34.6530545810711,126.925833333333,0.183970028004651,"Summer",3
"2020-07-08 07:00:00","Rock-Small",33.7725,38.1881651502895,34.9990005778041,332.350833333333,0.683862375428063,"Summer",3
"2020-07-08 08:00:00","Rock-Small",36.1,41.8669201803075,35.9692000369901,552.290833333333,2.27978854068687,"Summer",3
"2020-07-08 09:00:00","Rock-Medium",40.7641666666667,47.4026032957277,37.416242013631,734.920833333333,3.36980776699053,"Summer",3
"2020-07-08 10:00:00","burrow",45.2458333333333,52.5794508270064,38.4415504884336,892.933333333333,NA,"Summer",3
"2020-07-08 11:00:00","burrow",48.6558333333333,56.3048870282071,39.622260293579,988.900833333333,NA,"Summer",3
"2020-07-08 12:00:00","burrow",50.2675,58.0054210175952,40.7795427916687,1016.50833333333,NA,"Summer",3
