"Active_location","avg_ToSun","avg_ToShade","avg_Tsurface_open","avg_radiation","mean_DF","sd_DF","DF.CI.25","DF.CI97.5","mean_DE","sd_DE","DE.CI.25","DE.CI97.5","n_hours","Round_percentage","season","habitat_loss","climate_change"
"burrow",48.1406080478551,41.9014090299089,45.5396984579637,559.396009915505,NA,NA,NA,NA,NA,NA,NA,NA,526,0.65179677819083,"Summer","Rock",0.5
"Bush-Large",41.9075939443913,34.8218659169671,38.7062413194444,470.721383159722,-0.0645274394093276,1.15917620432327,-2.71530112175498,1.95596241220483,0.846084266828568,0.78040808547937,0.0237005956520417,2.71530112175498,32,0.0396530359355638,"Summer","Rock",0.5
"Bush-Medium",41.8252660886911,34.9755991610104,38.5915992448759,440.033015102481,-0.368975837517181,1.39850239569753,-2.61872483635925,2.30827530560971,1.22701778430569,0.756937049747661,0.0508710417012576,2.61872483635925,103,0.127633209417596,"Summer","Rock",0.5
"Bush-Small",43.7227118743015,36.3724748904893,39.9259920634921,578.327817460317,0.399370002790769,1.16670729360118,-2.75985044545341,2.2103603733182,0.917197677899355,0.81673446050596,0.0455426409258237,2.75985044545341,56,0.0693928128872367,"Summer","Rock",0.5
"open",35.8122408617789,36.0008861703723,34.9815802469136,142.090583333333,0.512240861778854,1.21951992683734,-2.42064431672691,2.35657221174197,1.13831835904242,0.66501118583741,0.0712563794040577,2.50229083055066,90,0.111524163568773,"Summer","Rock",0.5
"burrow",47.7188530204138,40.8355089465926,45.2010205696203,450.929341751055,NA,NA,NA,NA,NA,NA,NA,NA,316,0.392059553349876,"Summer","Bush",0.5
"open",35.8815654029047,36.3809236937103,35.2354004329004,170.523885281385,0.58156540290466,1.08461562139304,-1.84826097167461,2.13899926637356,1.06209928960711,0.613320370134102,0.0570780817507803,2.42930757415711,77,0.0955334987593052,"Summer","Bush",0.5
"Rock-Large",47.0892851176175,36.8730648065082,44.2433333333333,599.846896757044,0.65497981461913,1.18450284865568,-1.8767942034372,2.42678541968677,1.11557470530348,0.76394889856786,0.0275611721991254,2.43048469635104,209,0.259305210918114,"Summer","Bush",0.5
"Rock-Medium",44.3889072161911,35.3614465484903,41.6423675496689,613.047721854305,-0.153792650419769,1.39540827304692,-2.71368963355749,2.24587719368355,1.12881956236335,0.829605697868818,0.04315592446026,2.71368963355749,151,0.187344913151365,"Summer","Bush",0.5
"Rock-Small",41.5955658069898,34.9241965598669,39.7295754716981,480.136745283019,-0.309070760562967,0.895057218223051,-2.26310350772748,0.926564015303571,0.660371604040166,0.673804243740522,0.0130629255603687,2.26310350772748,53,0.0657568238213399,"Summer","Bush",0.5
"burrow",49.4746611091934,42.8059811220145,46.4371684972939,515.801887357529,NA,NA,NA,NA,NA,NA,NA,NA,349,0.432465923172243,"Summer","none",1
"Bush-Large",42.3501921268169,35.549893626572,39.2889739583333,466.5295925,0.183356814236493,0.443378071965323,-0.437314755297317,0.958137465649894,0.33198714061611,0.338942460915834,0.00165394257506613,0.958137465649894,16,0.0198265179677819,"Summer","none",1
"Bush-Medium",41.4846820290525,34.8748735486055,37.9901649305556,534.715399305556,-0.308446230092787,0.435825256010195,-0.983826744454096,0.466625271235,0.403350884267372,0.343347157937092,0.00765551025674682,0.983826744454096,16,0.0198265179677819,"Summer","none",1
"Bush-Small",41.2531611376551,35.8774086405867,38.3085317460317,434.687678571429,0.171408397017369,0.475412404344685,-0.394367215751887,1.06700542178356,0.321842501245441,0.38223993734346,0.0158495033132009,1.06700542178356,14,0.0173482032218092,"Summer","none",1
"open",36.2012816761692,36.8867574384137,35.0763018242123,133.54370854063,0.901281676169208,1.21479507328666,-1.72518920584452,2.35521070580363,1.34155976908315,0.687961764401434,0.158097223732211,2.41747028304163,67,0.0830235439900867,"Summer","none",1
"Rock-Large",47.2052116856352,37.7639749981971,43.7598980933596,582.040872945431,0.773767406366835,1.15899571202746,-1.75197764081326,2.37216764020048,1.16983952955259,0.754241566836665,0.0442425502327637,2.41486955631738,169,0.209417596034696,"Summer","none",1
"Rock-Medium",43.1016811563677,36.1587909901033,39.700305958132,543.531136272142,-0.00659953593837234,1.40214041556782,-2.71045320460423,2.25461145831718,1.13417898202278,0.818712495392053,0.0347306137979935,2.71045320460423,138,0.171003717472119,"Summer","none",1
"Rock-Small",39.9602946538032,34.9860677591751,37.2045906432749,407.365124269006,-0.509641422503355,1.12316444652802,-2.78969593456924,0.784810396646099,0.824298856306469,0.911273823131703,0.0143299221284243,2.78969593456924,38,0.047087980173482,"Summer","none",1
"burrow",49.3039306407296,42.7279166954571,46.0888303533418,578.797509778629,NA,NA,NA,NA,NA,NA,NA,NA,522,0.646840148698885,"Summer","Rock",1
"Bush-Large",41.0705268711895,35.0818372418668,37.6246396396396,396.987067117117,-0.165348825479103,1.2798139302596,-2.72095365391143,1.3635871607039,0.944562924178485,0.865471521520037,0.00338178956000803,2.72095365391143,37,0.0458488228004957,"Summer","Rock",1
"Bush-Medium",40.9476277888658,34.9255465935865,37.4559277777778,404.203236111111,-0.422742619371749,1.38243388795071,-2.76472513165256,2.32690143075451,1.16681462149673,0.846422764501507,0.0299764099507545,2.76472513165256,100,0.123915737298637,"Summer","Rock",1
"Bush-Small",42.5060757578148,36.1941643070873,38.628596743295,512.739181034483,0.326730301164328,1.39852428466347,-2.73629426281018,2.12410131095162,1.15441223755404,0.841693513638073,0.0228446189544371,2.73629426281018,58,0.0718711276332094,"Summer","Rock",1
"open",35.9874705732647,36.0309084993006,34.612012345679,142.48087345679,0.687470573264723,1.39344089241224,-2.55535281462705,2.32167382149186,1.39336080141198,0.675525856714208,0.225653354169898,2.55535281462705,90,0.111524163568773,"Summer","Rock",1
"burrow",49.4671201793618,41.4709953264959,46.2049688697318,498.798826609195,NA,NA,NA,NA,NA,NA,NA,NA,348,0.431761786600496,"Summer","Bush",1
"open",36.1854541621793,37.0546459167189,35.1736274509804,142.669730392157,0.885454162179346,1.21273904301581,-1.71446096713848,2.35343745096203,1.32440432064283,0.697309385174835,0.136987771812989,2.41631635794475,68,0.0843672456575682,"Summer","Bush",1
"Rock-Large",46.8331902655144,36.8466357967408,43.6601029962547,580.788130337079,0.697431588718446,1.18023940024086,-1.71029049957376,2.37137008343961,1.14790308639606,0.746322934509684,0.0449924842706297,2.41059014304222,178,0.220843672456576,"Summer","Bush",1
"Rock-Medium",43.1781077943022,35.4082588128555,40.1504277777778,568.151859259259,-0.0360867295044716,1.36625315957289,-2.69449632622405,2.25399025820601,1.10026595386285,0.805759757078213,0.0354108742770229,2.69449632622405,150,0.186104218362283,"Summer","Bush",1
"Rock-Small",40.5638252674993,35.2201576570894,38.2576075268817,437.465591397849,-0.182989507854174,1.04457337376921,-2.78455432066092,1.40946303022352,0.727902886488296,0.765923673482962,0.0147346207131587,2.78455432066092,62,0.0769230769230769,"Summer","Bush",1
"burrow",50.1558859642951,43.1286462898087,46.5213311055416,531.852902656642,NA,NA,NA,NA,NA,NA,NA,NA,399,0.494423791821561,"Summer","none",1.5
"Bush-Large",41.9001115538828,36.2539598553808,38.5277976190476,417.553849206349,0.394271384508649,0.495330561201218,-0.204219152945207,1.45645181376543,0.43844120869265,0.454678521133926,0.00296801415781189,1.45645181376543,21,0.0260223048327138,"Summer","none",1.5
"Bush-Medium",41.515570860845,35.0358619755288,37.7230555555556,495.795073529412,-0.0520809633397974,0.225708761127703,-0.480213248040239,0.26521499686227,0.188529683101894,0.126733940856216,0.0559456943744578,0.480213248040239,17,0.0210656753407683,"Summer","none",1.5
"Bush-Small",40.2298117577484,36.2149918510952,37.14825,376.666458333333,0.5099993075485,0.731582256923978,-0.245796578131091,1.59152195274897,0.60041560530065,0.650889761440093,0.022503500176613,1.59152195274897,10,0.0123915737298637,"Summer","none",1.5
"open",36.2017654669395,36.9768420204145,34.623722826087,120.74309178744,0.901765466939457,1.35232542709909,-2.17692967913755,2.43136175965076,1.38689683703439,0.832951863239224,0.164292302603764,2.47923330936583,46,0.057001239157373,"Summer","none",1.5
"Rock-Large",46.1183965137819,37.4596842432716,42.3964791666667,536.90387249269,0.793953158602115,1.14093150442165,-1.53805727152175,2.41275085323446,1.15274682218104,0.773715382368418,0.0345506498012718,2.41801002531949,152,0.188351920693928,"Summer","none",1.5
"Rock-Medium",42.7828569971751,36.1529457510313,38.9337819664903,527.529925044092,0.121171378624057,1.33753315550109,-2.28956390233589,2.33903033808511,1.08614314574737,0.78399637535381,0.0218586271630539,2.45635301738934,126,0.156133828996283,"Summer","none",1.5
"Rock-Small",38.9449581214599,35.1890030951443,35.8563117283951,364.290343364198,-0.27509865689844,0.962930819439326,-2.29066877982941,1.14640451784607,0.663335752578695,0.743297477836389,0.010581952452843,2.29066877982941,36,0.0446096654275093,"Summer","none",1.5
"burrow",50.0063111548186,43.3767978662908,46.261531152648,581.675786799585,NA,NA,NA,NA,NA,NA,NA,NA,535,0.662949194547708,"Summer","Rock",1.5
"Bush-Large",40.6962619661373,35.2695113447202,36.8045023148148,374.99809224537,-0.0733819938589475,1.17056494501922,-2.2425121765075,1.59078807122244,0.895236740198205,0.746472274540715,0.012016308105596,2.2425121765075,48,0.0594795539033457,"Summer","Rock",1.5
"Bush-Medium",39.947138667625,34.7442831143837,36.1621672771673,357.99184981685,-0.505800456683173,1.22434600297484,-2.62471937520796,2.12468622215568,1.01755832457553,0.843071866807633,0.043504819572167,2.62471937520796,91,0.11276332094176,"Summer","Rock",1.5
"Bush-Small",41.7536985818039,36.1321906032843,37.7148657407407,462.74375462963,0.380151080526067,1.5796555825239,-2.53172811044793,2.39242669356714,1.40535940897098,0.796094070148905,0.0394342228056443,2.53172811044793,60,0.0743494423791822,"Summer","Rock",1.5
"open",35.9026170455235,35.7554079366541,33.9921803652968,140.615867579909,0.602617045523481,1.57443955203475,-2.70965419496024,2.44236505107182,1.49164939436197,0.768849775189441,0.175461714012462,2.70965419496024,73,0.090458488228005,"Summer","Rock",1.5
"burrow",50.1497251339425,41.7777534075576,46.3243195142379,516.514615142379,NA,NA,NA,NA,NA,NA,NA,NA,398,0.493796526054591,"Summer","Bush",1.5
"open",36.1251056483479,37.1353380811905,34.6332638888889,129.487065972222,0.825105648347934,1.37518172789311,-2.13771800237029,2.43133001443571,1.36819572629367,0.821352991025876,0.165119666411816,2.47650232726998,48,0.0595533498759305,"Summer","Bush",1.5
"Rock-Large",45.7778453339336,36.7553093443659,42.3508333333333,539.129800414079,0.732987836694631,1.13918713105154,-1.53286164419104,2.4125513494147,1.11086985266698,0.77241951334829,0.037391439701004,2.4134380330581,161,0.199751861042184,"Summer","Bush",1.5
"Rock-Medium",42.8417107270636,35.5490208400312,39.4027144607843,550.02327001634,0.133045766473774,1.30855419801009,-2.28288917649182,2.33370596281707,1.06156720263427,0.77128066692834,0.0246195254420289,2.43562735531798,136,0.168734491315136,"Summer","Bush",1.5
"Rock-Small",40.0823855820542,35.6464575681497,37.4673148148148,406.638214285714,0.127772123974799,0.977145712006345,-2.28501201349772,1.80216305251665,0.735453121315516,0.649451637441812,0.0118745249187725,2.28501201349772,63,0.0781637717121588,"Summer","Bush",1.5
"burrow",50.6027611986795,43.3724708641236,46.4056103068547,540.404514276169,NA,NA,NA,NA,NA,NA,NA,NA,449,0.55638166047088,"Summer","none",2
"Bush-Large",40.9349838048982,36.3332629715839,37.3932546296296,355.128046296296,0.482106995340501,0.814827660506854,-0.896566531316584,1.95336519121735,0.719917133200031,0.606822523106304,0.0270299658858898,2.02637731268769,30,0.0371747211895911,"Summer","none",2
"Bush-Medium",39.9194900604185,35.1962680838237,36.2984821428571,380.355128968254,-0.0294195721054962,0.260545463249086,-0.550970874470811,0.319064548016449,0.188373951442176,0.174933375983519,0.0358572190690927,0.550970874470811,14,0.0173482032218092,"Summer","none",2
"Bush-Small",41.3341742526824,36.0218695267253,37.2050724637681,459.018508454106,0.201780473565963,0.553666403473545,-0.141988578787403,1.89195188650835,0.258530938104982,0.528428042368189,0.00339638522921888,1.89195188650835,23,0.0285006195786865,"Summer","none",2
"open",35.7796720959494,36.4743779609954,33.6482465277778,119.313511284722,0.479672095949371,1.28173695279857,-2.01079523629867,2.46670414469681,1.03263616322593,0.882961842419349,0.0196474569504895,2.46670414469681,32,0.0396530359355638,"Summer","none",2
"Rock-Large",46.1199551184727,37.5059368842207,41.9232922502334,530.026741428571,0.868950538726801,1.20518584134105,-1.76443125408281,2.37098641105548,1.24980822250207,0.799180102506494,0.0157846982525427,2.42021798601012,119,0.147459727385378,"Summer","none",2
"Rock-Medium",41.8711817767595,36.0999579646267,37.7328660436137,483.228735721703,0.297835748032708,1.2325319594451,-1.82482964393026,2.35691293121915,1.01954184882828,0.74793459178341,0.0453549252030815,2.35691293121915,107,0.132589838909542,"Summer","none",2
"Rock-Small",39.6801113656176,35.4170459200964,36.1352946127946,368.041165824916,-0.0514609505125347,0.987846438923763,-1.79177865076772,1.64777624824704,0.753350639019287,0.627135432853142,0.0251269354954843,1.79177865076772,33,0.0408921933085502,"Summer","none",2
"burrow",50.4991760398425,43.8958316764751,46.249287505014,578.286858391496,NA,NA,NA,NA,NA,NA,NA,NA,554,0.686493184634449,"Summer","Rock",2
"Bush-Large",39.9314299820807,35.414383236791,35.9124425287356,322.16622289272,0.0396116657922695,1.3038831137105,-2.50881629336514,2.05230850397805,1.07339622969677,0.727540133125863,0.0398323454647084,2.52297138444066,58,0.0718711276332094,"Summer","Rock",2
"Bush-Medium",39.37581785365,34.5639553248114,35.212225877193,323.88798245614,-0.619170689627729,1.16191413109212,-2.54967619007542,1.8459802640824,1.0755726030249,0.7524940168941,0.0428044631690865,2.54967619007542,76,0.0941759603469641,"Summer","Rock",2
"Bush-Small",40.8437931225821,35.8605053788793,36.4550912698413,427.620718253968,0.142116767066715,1.46089326338945,-2.75019625923712,2.29206998190983,1.14325143867061,0.910347619592043,0.009076122153715,2.75019625923712,70,0.0867410161090458,"Summer","Rock",2
"open",35.4477206503532,35.3599547710689,33.0326757369615,126.485691609977,0.147720650353225,1.48896966710328,-2.32494481965365,2.44927480353546,1.23507801257273,0.825899170540599,0.0309927156494069,2.44927480353546,49,0.0607187112763321,"Summer","Rock",2
"burrow",50.5971488165314,42.037797143314,46.2409319196429,526.582124613095,NA,NA,NA,NA,NA,NA,NA,NA,448,0.555831265508685,"Summer","Bush",2
"open",35.7025687850986,36.7269817954817,33.8002857142857,134.50530952381,0.402568785098616,1.25185012633535,-1.9957440278499,2.46449354352753,0.980113051861658,0.863181158991944,0.0211881756678775,2.46449354352753,35,0.043424317617866,"Summer","Bush",2
"Rock-Large",45.5462095481428,36.7673283522894,41.7343702290076,521.434417557252,0.802183352066384,1.17192034876547,-1.69929542292738,2.35988399800452,1.16330043896394,0.811275388104116,0.0148338099156398,2.41485319748192,131,0.162531017369727,"Summer","Bush",2
"Rock-Medium",41.7537717678792,35.6756480084949,38.0015804597701,496.647219827586,0.31261569921575,1.21234566733324,-1.80428149912876,2.34934015467308,1.00118612912923,0.746505491135628,0.0531557951141925,2.34934015467308,116,0.143920595533499,"Summer","Bush",2
"Rock-Small",40.8014709314818,36.0210018739849,37.6689035087719,427.289502923977,0.374424281169052,0.983665480911466,-1.79137987149432,2.07895105847851,0.81704963975838,0.658171344876426,0.0275041609248277,2.25975267674246,76,0.0942928039702233,"Summer","Bush",2
"burrow",51.0660725993577,43.631169361969,46.3065948275862,548.641786892044,NA,NA,NA,NA,NA,NA,NA,NA,493,0.61090458488228,"Summer","none",2.5
"Bush-Large",41.9244748255145,36.7288942571255,37.7574421296296,378.765486111111,0.749845876726385,0.871280950677684,-0.539817070964173,2.45129515759483,0.887961893070087,0.725575591734795,0.0426049204605965,2.45129515759483,36,0.0446096654275093,"Summer","none",2.5
"Bush-Medium",39.6066578108579,35.3569684871536,35.7179814814815,347.62237962963,-0.0251558841071917,0.182411130344193,-0.410777184842939,0.232400961564558,0.115940651477104,0.139819333486475,0.0112240915941257,0.455317102107826,15,0.0185873605947955,"Summer","none",2.5
"Bush-Small",41.0164080160606,36.3586756248079,36.3043284313725,465.264306013072,0.40574052578634,0.805109882111027,-0.238668961811626,2.39377533622086,0.518205903662303,0.733345374927411,0.00935858129457756,2.39377533622086,17,0.0210656753407683,"Summer","none",2.5
"open",35.5732844609933,36.3660015299917,32.9699588477366,100.180483539095,0.273284460993273,0.914670407078221,-1.51949180772296,1.99799668506213,0.69686810083779,0.640215422064766,0.0275155296832125,1.99799668506213,27,0.033457249070632,"Summer","none",2.5
"Rock-Large",45.995282425883,37.3066489804292,41.3543225308642,520.915202160494,0.884842704109876,1.17941094803863,-1.50538461175731,2.49027111464567,1.19344986554261,0.861642467748083,0.0145030750364123,2.49027111464567,90,0.111524163568773,"Summer","none",2.5
"Rock-Medium",40.7412054856776,35.9629207035365,36.3406663359788,434.223561507936,0.362726447944256,1.23979287281448,-1.7111194980302,2.38503644599922,1.02727096873026,0.77604259027733,0.0312478948316514,2.46973175692163,84,0.104089219330855,"Summer","none",2.5
"Rock-Small",39.9066557214267,35.7585628898012,35.8056172839506,369.291240740741,0.252721215227609,0.886735970880858,-1.29050850818436,2.13154824288606,0.615744789654848,0.681073959892706,0.00677632968057438,2.13154824288606,45,0.0557620817843866,"Summer","none",2.5
"burrow",50.9990531543402,44.3576398680583,46.2179408318688,580.091751794571,NA,NA,NA,NA,NA,NA,NA,NA,569,0.705080545229244,"Summer","Rock",2.5
"Bush-Large",40.4666247161729,35.7535743427125,35.8377521367521,326.539987179487,0.309673196170402,1.20170559514932,-1.92237257873511,2.45191408331181,0.992585287239357,0.735440359509364,0.0398822855163672,2.45191408331181,65,0.080545229244114,"Summer","Rock",2.5
"Bush-Medium",38.6838070522672,34.5424502429535,34.2228472222222,282.320767973856,-0.587942696789271,1.17544219056914,-2.55100247396849,2.21885428311885,1.0405281089454,0.796016257536185,0.0162617578285877,2.55100247396849,68,0.0842627013630731,"Summer","Rock",2.5
"Bush-Small",40.1109702695383,35.7534543569925,35.4542838541667,393.528868663194,0.0669055782226405,1.34841385718656,-2.3853235290831,2.39412603726599,1.05661115951821,0.829830785012877,0.0445916897425214,2.50725107937964,64,0.0793060718711276,"Summer","Rock",2.5
"open",35.315993353652,35.2243763103093,32.3883807588076,100.544647696477,0.0159933536519876,1.11390017939093,-1.81655247799689,2.35247783515681,0.890404246291785,0.65451934794352,0.0354065225901863,2.35247783515681,41,0.0508054522924411,"Summer","Rock",2.5
"burrow",51.0164763136988,42.2722918085922,46.1256518817204,536.215939502688,NA,NA,NA,NA,NA,NA,NA,NA,496,0.615384615384615,"Summer","Bush",2.5
"open",35.5231982875299,36.6941370186148,33.1551149425287,120.086149425287,0.223198287529869,0.903344415719133,-1.50935248290832,1.96393904055465,0.680047201071465,0.623415616118435,0.0286428143842088,1.96393904055465,29,0.0359801488833747,"Summer","Bush",2.5
"Rock-Large",45.5930601620131,36.7078117953423,41.4352233676976,520.205171821306,0.856310920366645,1.14556249593747,-1.45982414792528,2.48865447543042,1.14645773443102,0.851565261403428,0.0144762407303361,2.48865447543042,97,0.120347394540943,"Summer","Bush",2.5
"Rock-Medium",40.8622850308874,35.7005356351034,36.7497037037037,456.904198518519,0.359808959184193,1.22665603669214,-1.70835346065721,2.45630775109973,1.00688348368157,0.781278843928154,0.0322733888372834,2.47839968779572,90,0.11166253101737,"Summer","Bush",2.5
"Rock-Small",40.491963011908,36.2638743701134,36.9218971631206,404.070023640662,0.55788316301686,0.919221810034845,-1.28844641135714,2.15975529502844,0.814416236548184,0.699387714332122,0.00821756604268504,2.15975529502844,94,0.116625310173697,"Summer","Bush",2.5
"burrow",51.4685682443405,43.8423379609277,46.1493086825099,555.989499622681,NA,NA,NA,NA,NA,NA,NA,NA,533,0.660470879801735,"Summer","none",3
"Bush-Large",41.5405029785315,36.7801689742289,36.9942724867725,356.977913359788,0.817021682251632,0.812694551128833,-0.427672577723436,2.00460414354629,0.919810715757609,0.691079434592394,0.028426522342288,2.00460414354629,42,0.0520446096654275,"Summer","none",3
"Bush-Medium",39.665959867292,35.4305817849205,35.1814423076923,348.264861111111,-0.0592542815704036,0.325361759974553,-0.540878260054077,0.607126582818269,0.224896545050414,0.234244757867246,0.0172960848005502,0.720424009029732,13,0.0161090458488228,"Summer","none",3
"Bush-Small",38.7457734184948,36.1608942040465,34.2673985042735,333.497954059829,0.230547894549465,0.477960044950022,-0.323380222952197,1.09447806742075,0.371550019076987,0.374369918895619,0.0180170673436564,1.09447806742075,26,0.0322180916976456,"Summer","none",3
"open",35.8272852655847,37.0736432399988,32.7926555555556,83.0569722222222,0.52728526558472,0.924302647039255,-1.06110601011009,2.04804826489226,0.872219679963611,0.592860780785412,0.0773161962896211,2.04804826489226,25,0.0309789343246592,"Summer","none",3
"Rock-Large",45.8495709273067,37.075060947592,40.7170450191571,520.202626915709,0.902319497086877,1.15415524625871,-1.2770645661826,2.38850930377826,1.18644984071789,0.853334403786059,0.0265563023509685,2.38850930377826,58,0.0718711276332094,"Summer","none",3
"Rock-Medium",40.4959677147995,36.0683362254247,35.7248586235489,404.880012553897,0.485632709038246,1.17615559701464,-1.4541615819587,2.44547697888454,0.961805986628093,0.826841857377303,0.00703763155245589,2.44547697888454,67,0.0830235439900867,"Summer","none",3
