Active_location,avg_ToSun,avg_ToShade,avg_Tsurface_open,avg_radiation,mean_de,Mean_De,n_hours,Round_percentage,Round_Percentage,season,habitat_loss,climate_change
burrow,49.73593128,42.69580912,47.24280044,606.2359783,NA,NA,478,0.592317224,59.2317224,Summer,Rock,0
Veg-Large,39.08420614,33.8149196,37.34931973,398.2702627,1.154911618,3.464734854,49,0.060718711,6.0718711,Summer,Rock,0
Veg-Medium,39.61048905,33.78967293,37.91846014,420.1209088,1.690113963,5.070341889,92,0.114002478,11.4002478,Summer,Rock,0
Veg-Small,38.17111594,34.07403597,36.39324257,410.4645655,1.590273487,4.770820461,101,0.125154895,12.5154895,Summer,Rock,0
open,34.63477281,35.17351613,34.5305364,129.7160281,1.771821174,5.315463522,87,0.107806691,10.7806691,Summer,Rock,0
