Active_location,avg_ToSun,avg_ToShade,avg_Tsurface_open,avg_radiation,mean_de,Mean_De,n_hours,Round_percentage,Round_Percentage,season,habitat_loss,climate_change
open,28.39844394,20.98010669,25.72304348,592.9959098,3.115035677,6.230071354,138,0.25136612,25.13661202,Winter,Bush,0
Rock-Small,23.52217799,22.76746229,23.30083333,186.2091667,6.088793582,12.17758716,6,0.010928962,1.092896175,Winter,Bush,0
burrow,18.12299689,17.59988246,17.62433045,220.9895569,NA,NA,405,0.737704918,73.7704918,Winter,Bush,0
Rock-Medium,,,,,,,,,0,,,
Rock-Large,,,,,,,,,0,,,
