round_dt,microhabitat,microhabitat_num,avg_Tsurface_open,avg_ToSun,avg_ToShade,avg_radiation,de,season,climate_change,dt,day
06/07/2020 6:00,open,1,31.40916667,31.48509471,31.71895117,106.8975,0.823589694,Summer,0,06/07/2020 6:00,0.25
06/07/2020 7:00,Rock-Large,8,34.32083333,35.5608039,32.42650169,302.8666667,0.410715563,Summer,0,06/07/2020 7:00,0.291666667
06/07/2020 8:00,Rock-Medium,7,36.6675,39.15302462,33.39694032,509.2425,0.101711092,Summer,0,06/07/2020 8:00,0.333333333
06/07/2020 9:00,Rock-Small,6,40.16166667,43.69944754,34.62859511,701.4766667,0.790919867,Summer,0,06/07/2020 9:00,0.375
06/07/2020 10:00,Rock-Medium,7,42.87416667,47.267922,35.65218823,856.2358333,1.884666479,Summer,0,06/07/2020 10:00,0.416666667
06/07/2020 11:00,Rock-Medium,7,44.7275,49.64470574,36.77107973,952.3358333,2.876486176,Summer,0,06/07/2020 11:00,0.458333333
06/07/2020 12:00,Rock-Medium,7,46.2125,51.2761628,37.32098689,982.5608333,3.433896501,Summer,0,06/07/2020 12:00,0.5
06/07/2020 13:00,burrow,2,46.62916667,51.54025941,38.40388842,951.7983333,NA,Summer,0,06/07/2020 13:00,0.541666667
06/07/2020 14:00,burrow,2,46.5325,50.88143501,39.64394836,858.2858333,NA,Summer,0,06/07/2020 14:00,0.583333333
06/07/2020 15:00,burrow,2,44.93333333,48.4130797,40.65872406,703.065,NA,Summer,0,06/07/2020 15:00,0.625
06/07/2020 16:00,burrow,2,43.6075,46.01690814,41.34072032,534.3216667,NA,Summer,0,06/07/2020 16:00,0.666666667
06/07/2020 17:00,burrow,2,41.26666667,42.47715692,41.37098317,332.9925,NA,Summer,0,06/07/2020 17:00,0.708333333
06/07/2020 18:00,burrow,2,39.10666667,39.07727134,40.62508681,136.8583333,NA,Summer,0,06/07/2020 18:00,0.75
06/07/2020 19:00,open,1,37.06,36.26269227,39.24020445,16.44444444,2.643513637,Summer,0,06/07/2020 19:00,0.791666667
07/07/2020 6:00,open,1,30.655,30.74356208,31.1296192,119.4475,1.450642158,Summer,0,07/07/2020 6:00,1.25
07/07/2020 7:00,open,1,33.74583333,34.96579418,31.64031439,312.3891667,0.638570384,Summer,0,07/07/2020 7:00,1.291666667
07/07/2020 8:00,Rock-Large,8,36.1075,38.67095954,32.68357076,533.2591667,0.084332904,Summer,0,07/07/2020 8:00,1.333333333
07/07/2020 9:00,Rock-Small,6,40.38,43.92395314,34.27738148,723.8258333,0.422880468,Summer,0,07/07/2020 9:00,1.375
07/07/2020 10:00,Rock-Medium,7,45.00333333,49.26446674,35.49101052,880.8766667,1.260801798,Summer,0,07/07/2020 10:00,1.416666667
07/07/2020 11:00,Rock-Medium,7,48.62916667,53.21072304,36.57807105,970.7591667,2.193089646,Summer,0,07/07/2020 11:00,1.458333333
