"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","season","climate_change"
"2022-01-10 10:00:00","open",24.15,31.2200836424502,25.6309200272035,517.71,0.479916357549801,"Winter",5.5
"2022-01-10 11:00:00","open",26.7333333333333,34.0529304883366,25.9383326724399,599.372777777778,2.22320089000265,"Winter",5.5
"2022-01-10 12:00:00","Rock-Small",28.0344444444444,35.4995264277277,26.5619437178384,630.548333333333,3.33694870854455,"Winter",5.5
"2022-01-10 13:00:00","Rock-Small",28.2477777777778,35.391784294188,26.9803681204372,585.336111111111,2.81603434329875,"Winter",5.5
"2022-01-10 14:00:00","Rock-Small",27.2261111111111,33.8578276819946,27.7727120844461,483.33,1.61266291214335,"Winter",5.5
"2022-01-10 15:00:00","open",25.0466666666667,30.9593285628011,27.8604966409173,319.393333333333,0.576208173993248,"Winter",5.5
"2022-01-10 16:00:00","Rock-Small",21.3516666666667,26.5429507582734,27.0607447219674,135.813333333333,3.2461207129648,"Winter",5.5
"2022-01-10 17:00:00","Rock-Medium",18.6966666666667,23.4331257588478,26.991848863132,23.12,4.2270449372471,"Winter",5.5
"2022-01-11 07:00:00","burrow",12.21,17.1036065444046,20.827974275392,41.2,NA,"Winter",5.5
"2022-01-11 08:00:00","burrow",14.7122222222222,20.2458496013372,22.4587300020401,167.047777777778,NA,"Winter",5.5
"2022-01-11 09:00:00","Rock-Medium",18.9127777777778,25.2351623242447,24.1161552080674,345.722222222222,6.110215539546,"Winter",5.5
"2022-01-11 10:00:00","open",24.2333333333333,31.0425861829283,24.0298218365071,481.562222222222,0.395811531646668,"Winter",5.5
"2022-01-11 11:00:00","open",27.45,34.6087522531731,24.9660535027843,588.963333333333,2.7690998318355,"Winter",5.5
"2022-01-11 12:00:00","Rock-Small",29.6961111111111,36.8409794396769,25.4184353245566,617.601111111111,4.32420681974235,"Winter",5.5
"2022-01-11 13:00:00","Rock-Small",30.6755555555556,37.5854532576498,26.0907738969393,575.444444444444,3.08973439209205,"Winter",5.5
"2022-01-11 14:00:00","Rock-Small",29.2794444444444,35.7539167504381,26.7636812872092,473.992777777778,1.69492533555015,"Winter",5.5
"2022-01-11 15:00:00","open",27.2366666666667,33.063026603126,27.0099991645869,318.09,1.19900049031663,"Winter",5.5
"2022-01-11 16:00:00","Rock-Small",22.7183333333333,27.8528296355082,26.5318110777567,133.732777777778,3.05827863801115,"Winter",5.5
"2022-01-11 17:00:00","Rock-Medium",19.4333333333333,24.1668126608445,26.3677161169607,23.3,4.6934164165631,"Winter",5.5
"2022-01-12 07:00:00","burrow",11.54,16.5416117498094,20.9174143311762,42.25,NA,"Winter",5.5
"2022-01-12 08:00:00","burrow",14.4244444444444,20.0232729110576,22.9098804106387,173.214444444444,NA,"Winter",5.5
"2022-01-12 09:00:00","burrow",18.8005555555556,24.8576697171671,23.5699449357919,284.766666666667,NA,"Winter",5.5
"2022-01-12 10:00:00","open",24.0772222222222,30.7879627645634,24.138680943922,447.565555555556,0.768860094679365,"Winter",5.5
"2022-01-12 11:00:00","open",27.68,35.121159001012,25.1785780442763,629.542222222222,3.2620764910187,"Winter",5.5
"2022-01-12 12:00:00","open",26.2611111111111,32.8842221349667,25.6219199477408,462.66,0.454077039164037,"Winter",5.5
"2022-01-12 13:00:00","open",26.5066666666667,32.9732862841028,26.2329865884376,431.700555555556,0.910820156622666,"Winter",5.5
"2022-01-12 14:00:00","open",25.1661111111111,31.0551713427954,26.5290643800147,300.241111111111,0.176484562829998,"Winter",5.5
"2022-01-12 15:00:00","open",23.5011111111111,28.840866673294,26.5286482893325,173.390555555556,2.3611253736521,"Winter",5.5
"2022-01-12 16:00:00","Rock-Small",21.2333333333333,26.2259732342373,26.1054388972204,85.4494444444445,4.2536421191445,"Winter",5.5
"2022-01-12 17:00:00","Rock-Medium",19.8866666666667,24.7245103414906,26.0329353806888,40.4466666666667,5.1963537013782,"Winter",5.5
"2022-01-13 07:00:00","burrow",12.26,17.1101709416332,20.9389432760902,33.72,NA,"Winter",5.5
"2022-01-13 08:00:00","burrow",14.0738888888889,19.201990090939,21.7241006897058,90.3794444444444,NA,"Winter",5.5
"2022-01-13 09:00:00","burrow",15.8077777777778,21.3618518966341,22.3712034391783,165.762222222222,NA,"Winter",5.5
