"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","df","season","climate_change"
"2022-01-10 10:00:00","open",24.15,31.3584109125985,26.9229171500005,517.71,0.341589087401498,-0.341589087401498,"Winter",5
"2022-01-10 11:00:00","Bush-Small",26.4675,34.0541392379767,27.4680688971441,594.188888888889,1.5781211089747,-1.5781211089747,"Winter",5
"2022-01-10 12:00:00","Bush-Small",27.9797222222222,35.7345565461051,27.6143428962552,630.026666666667,0.829891409132198,-0.829891409132198,"Winter",5
"2022-01-10 13:00:00","Bush-Small",28.3205555555556,35.7035228908297,28.1224417658657,590.894722222222,0.382253910645201,0.382253910645201,"Winter",5
"2022-01-10 14:00:00","Bush-Small",27.3438888888889,34.0940014310446,28.3896521855201,492.450833333333,0.198713480819851,0.198713480819851,"Winter",5
"2022-01-10 15:00:00","open",25.2833333333333,31.1128535752545,27.9802054409888,332.900833333333,0.587146424745455,-0.587146424745455,"Winter",5
"2022-01-10 16:00:00","burrow",21.7216666666667,26.5633561437274,26.8347575610459,149.586666666667,NA,NA,"Winter",5
"2022-01-10 17:00:00","burrow",17.9547222222222,22.128020738351,25.3073092330239,12.8072222222222,NA,NA,"Winter",5
"2022-01-11 07:00:00","burrow",12.0544444444444,16.376221341241,19.9727054812162,21.175,NA,NA,"Winter",5
"2022-01-11 08:00:00","burrow",14.3861111111111,19.6063448177055,21.2769539739494,154.365555555556,NA,NA,"Winter",5
"2022-01-11 09:00:00","burrow",18.5488888888889,24.791554052668,23.2574653740868,332.080277777778,NA,NA,"Winter",5
"2022-01-11 10:00:00","open",23.9075,30.8258100081064,24.4226732635923,473.769444444444,0.874189991893637,-0.874189991893637,"Winter",5
"2022-01-11 11:00:00","open",27.2925,34.6793343545334,25.3853508933519,583.165833333333,2.97933435453335,2.97933435453335,"Winter",5
"2022-01-11 12:00:00","Bush-Small",29.5663888888889,37.0005432669225,26.3556610710675,617.943055555556,2.2766156803132,-2.2766156803132,"Winter",5
"2022-01-11 13:00:00","Bush-Small",30.6486111111111,37.8072446720985,27.1941682500786,580.937222222222,0.582945611449897,-0.582945611449897,"Winter",5
"2022-01-11 14:00:00","Bush-Small",29.3547222222222,35.9543763870618,27.3053784030224,483.631388888889,1.2673410085442,-1.2673410085442,"Winter",5
"2022-01-11 15:00:00","open",27.4808333333333,33.2057483613302,27.0330322135679,331.160833333333,1.5057483613302,1.5057483613302,"Winter",5
"2022-01-11 16:00:00","burrow",23.1591666666667,27.9269679054314,26.0843109757547,147.534722222222,NA,NA,"Winter",5
"2022-01-11 17:00:00","burrow",18.7091666666667,22.8722668399677,24.623310147979,13.0811111111111,NA,NA,"Winter",5
"2022-01-12 07:00:00","burrow",11.4094444444444,15.8452159792303,19.9237896142697,21.6913888888889,NA,NA,"Winter",5
"2022-01-12 08:00:00","burrow",14.1263888888889,19.4076836127326,21.4599394719955,160.165555555556,NA,NA,"Winter",5
"2022-01-12 09:00:00","burrow",18.5152777777778,24.4475543529206,22.8964500831497,280.359166666667,NA,NA,"Winter",5
"2022-01-12 10:00:00","open",23.8236111111111,30.645547079613,24.4729141287419,448.876944444444,1.05445292038702,-1.05445292038702,"Winter",5
"2022-01-12 11:00:00","open",27.3833333333333,35.0917045773029,25.9012689082243,615.923611111111,3.39170457730291,3.39170457730291,"Winter",5
"2022-01-12 12:00:00","open",26.4822222222222,33.1706959284037,26.3861349388708,481.563333333333,1.47069592840367,1.47069592840367,"Winter",5
"2022-01-12 13:00:00","Bush-Small",26.9016666666667,33.5324030781153,27.2902586723578,477.982777777778,1.07632198209355,-1.07632198209355,"Winter",5
"2022-01-12 14:00:00","open",25.3172222222222,31.1372580680586,27.3401078188735,312.256388888889,0.562741931941421,-0.562741931941421,"Winter",5
"2022-01-12 15:00:00","open",23.8113888888889,28.9120783905504,26.8205002413642,188.108611111111,2.78792160944962,-2.78792160944962,"Winter",5
"2022-01-12 16:00:00","burrow",21.3883333333333,25.9783657981559,26.0063684632343,91.8072222222222,NA,NA,"Winter",5
"2022-01-12 17:00:00","burrow",19.2297222222222,23.4817099627948,24.8575991667148,21.5502777777778,NA,NA,"Winter",5
"2022-01-13 07:00:00","burrow",12.0061111111111,16.3340253089896,20.2413618271268,17.485,NA,NA,"Winter",5
"2022-01-13 08:00:00","burrow",13.9102777777778,18.6421898313873,21.0770285375013,87.0222222222222,NA,NA,"Winter",5
"2022-01-13 09:00:00","burrow",15.6113888888889,20.8510665072687,22.0734626305282,155.511944444444,NA,NA,"Winter",5
"2022-01-13 10:00:00","burrow",17.1322222222222,22.4714506732415,23.0792232720125,179.597777777778,NA,NA,"Winter",5
"2022-01-13 11:00:00","open",23.7566666666667,31.2009748689708,24.7503256510894,540.232222222222,0.499025131029232,-0.499025131029232,"Winter",5
"2022-01-13 12:00:00","open",26.2908333333333,33.254399549805,26.8034905994263,508.660277777778,1.554399549805,1.554399549805,"Winter",5
"2022-01-13 13:00:00","Bush-Small",27.6333333333333,34.8678727538287,27.5834636994183,549.489166666667,0.0796131015403496,-0.0796131015403496,"Winter",5
"2022-01-13 14:00:00","Bush-Small",27.005,33.701852238166,27.9427778627585,466.798611111111,0.190956718415652,0.190956718415652,"Winter",5
"2022-01-13 15:00:00","open",24.6352777777778,30.4790353646419,27.812302006565,315.63,1.22096463535813,-1.22096463535813,"Winter",5
"2022-01-13 16:00:00","burrow",21.9641666666667,26.7874426037297,27.1362813658633,136.158888888889,NA,NA,"Winter",5
"2022-01-13 17:00:00","burrow",19.5605555555556,23.7698734601659,26.1556065988352,17.3930555555556,NA,NA,"Winter",5
"2022-01-14 07:00:00","burrow",15.6269444444444,20.0756636373954,21.8189752962755,26.9533333333333,NA,NA,"Winter",5
"2022-01-14 08:00:00","burrow",16.4894444444444,21.2262300423366,22.1370700649225,78.8172222222222,NA,NA,"Winter",5
"2022-01-14 09:00:00","burrow",18.4952777777778,23.847609368349,23.241450808883,188.930833333333,NA,NA,"Winter",5
"2022-01-14 10:00:00","burrow",20.2041666666667,25.7490656613989,24.2033112387124,219.620555555556,NA,NA,"Winter",5
"2022-01-14 11:00:00","burrow",20.3144444444444,25.4724058249689,24.3769610577025,158.493888888889,NA,NA,"Winter",5
"2022-01-14 12:00:00","burrow",20.1786111111111,25.3110275266424,25.2170560422311,150.259166666667,NA,NA,"Winter",5
"2022-01-14 13:00:00","burrow",19.8602777777778,25.0815601125346,25.9612182346927,161.114444444444,NA,NA,"Winter",5
"2022-01-14 14:00:00","burrow",22.2758333333333,28.5484305134495,25.4861997733815,324.875555555556,NA,NA,"Winter",5
"2022-01-14 15:00:00","open",24.1522222222222,29.7837006396877,26.0689383058147,291.171666666667,1.91629936031227,-1.91629936031227,"Winter",5
"2022-01-14 16:00:00","burrow",21.0116666666667,25.8598981434477,25.0756398534357,119.069722222222,NA,NA,"Winter",5
"2022-01-14 17:00:00","burrow",18.1261111111111,22.4364722130209,23.9372545143558,25.8255555555556,NA,NA,"Winter",5
"2022-01-15 07:00:00","burrow",10.3944444444444,14.8382549828327,19.8695178525005,9.17916666666667,NA,NA,"Winter",5
"2022-01-15 08:00:00","burrow",11.5997222222222,16.3807006142704,20.3605323728588,61.9736111111111,NA,NA,"Winter",5
"2022-01-15 09:00:00","burrow",15.2830555555556,20.5222462130986,22.2239250015103,142.712777777778,NA,NA,"Winter",5
"2022-01-15 10:00:00","burrow",17.7277777777778,22.9739939603875,23.5305893644326,174.168888888889,NA,NA,"Winter",5
"2022-01-15 11:00:00","burrow",19.1647222222222,24.2490664561349,24.5821556853213,144.990555555556,NA,NA,"Winter",5
"2022-01-15 12:00:00","burrow",22.0452777777778,27.2784408965799,25.1339572699367,178.695555555556,NA,NA,"Winter",5
"2022-01-15 13:00:00","burrow",20.6594444444444,25.3246317717065,25.0803134431564,97.5275,NA,NA,"Winter",5
"2022-01-15 14:00:00","burrow",19.7305555555556,24.2766504348813,25.0987770521921,71.7736111111111,NA,NA,"Winter",5
"2022-01-15 15:00:00","burrow",20.5222222222222,25.2932579008948,24.8569786672038,93.6066666666667,NA,NA,"Winter",5
"2022-01-15 16:00:00","burrow",17.8461111111111,22.1604540358537,23.7063761101115,20.1025,NA,NA,"Winter",5
"2022-01-15 17:00:00","burrow",16.8963888888889,21.1537309386249,22.8377285746452,8.12638888888889,NA,NA,"Winter",5
"2022-01-16 08:00:00","burrow",14.5952777777778,18.9964814185551,20.9588276866336,37.3266666666667,NA,NA,"Winter",5
"2022-01-16 09:00:00","burrow",14.9958333333333,19.2873441004776,21.0647884462701,28.6802777777778,NA,NA,"Winter",5
"2022-01-16 10:00:00","burrow",15.6397222222222,19.9294229476142,21.8309061199914,33.5066666666667,NA,NA,"Winter",5
