"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","df","season","climate_change"
"2020-07-05 09:00:00","burrow",41.2808333333333,50.6209288550179,40.3381944096999,739.300833333333,NA,NA,"Summer",5.5
"2020-07-05 10:00:00","burrow",44.7825,54.9234796008664,41.5192333050556,882.115833333333,NA,NA,"Summer",5.5
"2020-07-05 11:00:00","burrow",48.1983333333333,58.5743303106415,42.7544132036396,969.559166666667,NA,NA,"Summer",5.5
"2020-07-05 12:00:00","burrow",50.1983333333333,60.4978349120345,44.001788256058,1004.39833333333,NA,NA,"Summer",5.5
"2020-07-05 13:00:00","burrow",50.2258333333333,60.2547449476542,45.0381050966136,970.575833333333,NA,NA,"Summer",5.5
"2020-07-05 14:00:00","burrow",48.5408333333333,58.2081302648714,46.0468589949346,873.803333333333,NA,NA,"Summer",5.5
"2020-07-05 15:00:00","burrow",45.6383333333333,54.3275888697369,46.9649300282141,723.263333333333,NA,NA,"Summer",5.5
"2020-07-05 16:00:00","burrow",42.9158333333333,50.9231978885464,47.4994789574056,541.765833333333,NA,NA,"Summer",5.5
"2020-07-05 17:00:00","burrow",41.3916666666667,47.8676920382327,47.7200665851828,340.395833333333,NA,NA,"Summer",5.5
"2020-07-05 18:00:00","burrow",38.7916666666667,44.1549525943319,46.5457165362587,135.148333333333,NA,NA,"Summer",5.5
"2020-07-05 19:00:00","burrow",36.5516666666667,41.3722247456635,45.1880189218074,13.72,NA,NA,"Summer",5.5
"2020-07-06 05:00:00","open",30.4258333333333,35.5548993806834,37.5310450726702,10.7841666666667,0.254899380683426,0.254899380683426,"Summer",5.5
"2020-07-06 06:00:00","Rock-Small",31.4091666666667,37.4042001647284,37.2174038635295,106.8975,1.6744799610477,1.6744799610477,"Summer",5.5
"2020-07-06 07:00:00","Rock-Small",34.3208333333333,41.4362489177247,37.926326061174,302.866666666667,1.90533887202164,1.90533887202164,"Summer",5.5
"2020-07-06 08:00:00","burrow",36.6675,45.1210128870493,38.8973781964626,509.2425,NA,NA,"Summer",5.5
"2020-07-06 09:00:00","burrow",40.1616666666667,49.5999929092185,40.1281161274293,701.476666666667,NA,NA,"Summer",5.5
"2020-07-06 10:00:00","burrow",42.8741666666667,53.0318320184709,41.1521992210596,856.235833333333,NA,NA,"Summer",5.5
"2020-07-06 11:00:00","burrow",44.7275,55.3886699407037,42.270103740527,952.335833333333,NA,NA,"Summer",5.5
"2020-07-06 12:00:00","burrow",46.2125,57.0200001430952,42.8231732042137,982.560833333333,NA,NA,"Summer",5.5
"2020-07-06 13:00:00","burrow",46.6291666666667,57.1253341076037,43.9080980338597,951.798333333333,NA,NA,"Summer",5.5
"2020-07-06 14:00:00","burrow",46.5325,56.4420733326891,45.1490238413531,858.285833333333,NA,NA,"Summer",5.5
"2020-07-06 15:00:00","burrow",44.9333333333333,53.9342034675646,46.1618057983713,703.065,NA,NA,"Summer",5.5
"2020-07-06 16:00:00","burrow",43.6075,51.3693055666693,46.8431987735459,534.321666666667,NA,NA,"Summer",5.5
"2020-07-06 17:00:00","burrow",41.2666666666667,47.8691396202693,46.8681817033339,332.9925,NA,NA,"Summer",5.5
"2020-07-06 18:00:00","burrow",39.1066666666667,44.5024733457686,46.1204300167619,136.858333333333,NA,NA,"Summer",5.5
"2020-07-06 19:00:00","burrow",36.7925,41.4416565653586,44.7069370912303,13.5175,NA,NA,"Summer",5.5
"2020-07-07 05:00:00","open",29.4191666666667,34.5001178569515,36.7716399675927,11.3125,0.799882143048499,-0.799882143048499,"Summer",5.5
"2020-07-07 06:00:00","Rock-Small",30.655,36.5204916684696,36.6270562576274,119.4475,0.835991871889135,0.835991871889135,"Summer",5.5
"2020-07-07 07:00:00","Rock-Small",33.7458333333333,40.9404424272519,37.141116427965,312.389166666667,1.24207790165294,1.24207790165294,"Summer",5.5
"2020-07-07 08:00:00","Rock-Small",36.1075,44.7985002180926,38.1844550609341,533.259166666667,2.24891233641967,2.24891233641967,"Summer",5.5
"2020-07-07 09:00:00","burrow",40.38,50.0779219262037,39.7753124761349,723.825833333333,NA,NA,"Summer",5.5
"2020-07-07 10:00:00","burrow",45.0033333333333,55.2332865753137,40.9892198000031,880.876666666667,NA,NA,"Summer",5.5
"2020-07-07 11:00:00","burrow",48.6291666666667,58.947361827651,42.0785496190093,970.759166666667,NA,NA,"Summer",5.5
"2020-07-07 12:00:00","burrow",50.3383333333333,60.7970350426142,43.2207584113099,1008.04916666667,NA,NA,"Summer",5.5
"2020-07-07 13:00:00","burrow",50.8783333333333,60.7195219241325,44.2851834887134,975.686666666667,NA,NA,"Summer",5.5
"2020-07-07 14:00:00","burrow",48.6608333333333,58.2037777652967,45.3744689585631,883.4825,NA,NA,"Summer",5.5
"2020-07-07 15:00:00","burrow",45.4941666666667,54.3269584546582,46.2089534972452,731.636666666667,NA,NA,"Summer",5.5
"2020-07-07 16:00:00","burrow",42.945,50.7379328223704,46.6228593017533,545.699166666667,NA,NA,"Summer",5.5
"2020-07-07 17:00:00","burrow",40.5866666666667,47.2528786248112,46.6428125562807,345.2,NA,NA,"Summer",5.5
"2020-07-07 18:00:00","burrow",38.9308333333333,44.3369453219705,46.3833813000872,141.429166666667,NA,NA,"Summer",5.5
"2020-07-07 19:00:00","burrow",36.5875,41.2518382348247,44.8094994125871,13.2575,NA,NA,"Summer",5.5
"2020-07-08 05:00:00","Rock-Small",28.5591666666667,33.392701706206,37.4511321628193,12.9933333333333,1.8841155678537,1.8841155678537,"Summer",5.5
