Active_location,avg_ToSun,avg_ToShade,avg_Tsurface_open,avg_radiation,mean_de,Mean_De,n_hours,Round_percentage,Round_Percentage,season,habitat_loss,climate_change
Rock-Small,41.42252949,34.43471044,39.16412879,496.2007323,0.778618909,2.335856727,66,0.085714286,8.5714286,Summer,Bush,0
Rock-Medium,43.30264553,34.5201563,40.5136,612.0597715,1.499419116,4.498257348,150,0.194805195,19.4805195,Summer,Bush,0
open,34.6624919,35.51434896,34.58507155,122.4466961,1.52642893,4.57928679,66,0.085714286,8.5714286,Summer,Bush,0
Rock-Large,47.06505956,36.00140023,44.57330964,599.9616115,1.995584638,5.986753914,211,0.274025974,27.4025974,Summer,Bush,0
burrow,48.73847217,40.96868997,46.79770758,506.0713008,NA,NA,277,0.35974026,35.974026,Summer,Bush,0
