"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","df","season","climate_change"
"2022-01-10 10:00:00","open",24.15,31.2568316458957,29.5110238636421,517.71,0.443168354104298,-0.443168354104298,"winter",4.9
"2022-01-10 11:00:00","Bush-Small",26.2016666666667,33.9527853695612,29.3980875973082,589.005,1.6777733750113,-1.6777733750113,"winter",4.9
"2022-01-10 12:00:00","Bush-Small",27.925,35.6331872715237,29.0670035414616,629.505,0.92954375440485,-0.92954375440485,"winter",4.9
"2022-01-10 13:00:00","Bush-Small",28.3933333333333,35.6023007821972,29.6648990218113,596.453333333333,0.282634469812603,0.282634469812603,"winter",4.9
"2022-01-10 14:00:00","Bush-Small",27.4616666666667,33.9927880356716,29.4068470449917,501.571666666667,0.0990332857201999,0.0990332857201999,"winter",4.9
"2022-01-10 15:00:00","open",25.52,31.0114083651222,28.5001047638078,346.408333333333,0.688591634877778,-0.688591634877778,"winter",4.9
"2022-01-10 16:00:00","burrow",22.0916666666667,26.4615651601638,27.0090286918752,163.36,NA,NA,"winter",4.9
"2022-01-10 17:00:00","burrow",18.16,22.0259785873323,24.7403972327478,15.5483333333333,NA,NA,"winter",4.9
"2022-01-11 07:00:00","burrow",12.0133333333333,16.2743147750594,19.3664239157672,15.9283333333333,NA,NA,"winter",4.9
"2022-01-11 08:00:00","burrow",14.06,19.5044504918027,20.4948429151194,141.683333333333,NA,NA,"winter",4.9
"2022-01-11 09:00:00","burrow",18.185,24.689814923779,22.7982468898765,318.438333333333,NA,NA,"winter",4.9
"2022-01-11 10:00:00","open",23.5816666666667,30.7243109379958,25.2158882435448,465.976666666667,0.975689062004182,-0.975689062004182,"winter",4.9
"2022-01-11 11:00:00","open",27.135,34.5780931349185,26.2048546101952,577.368333333333,2.87809313491845,2.87809313491845,"winter",4.9
"2022-01-11 12:00:00","Bush-Small",29.4366666666667,36.8995021490148,27.6932179820001,618.285,2.3763151162538,-2.3763151162538,"winter",4.9
"2022-01-11 13:00:00","Bush-Small",30.6216666666667,37.7061609515042,28.6980439618305,586.43,0.6825956749217,-0.6825956749217,"winter",4.9
"2022-01-11 14:00:00","Bush-Small",29.43,35.8531460094416,28.2472864015284,493.27,1.36705030658765,-1.36705030658765,"winter",4.9
"2022-01-11 15:00:00","open",27.725,33.1042800290952,27.4563999093456,344.231666666667,1.40428002909525,1.40428002909525,"winter",4.9
