"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","season","climate_change"
"2022-01-10 10:00:00","open",24.15,29.3283021355956,27.6178104745418,517.71,2.3716978644044,"Winter",3
"2022-01-10 11:00:00","open",26.2016666666667,32.0285008035613,27.5039284474876,589.005,0.328500803561337,"Winter",3
"2022-01-10 12:00:00","open",27.925,33.7086267067768,27.1713376621775,629.505,2.00862670677678,"Winter",3
"2022-01-10 13:00:00","Bush-Small",28.3933333333333,33.6804822006239,27.7689638241866,596.453333333333,1.61017119278125,"Winter",3
"2022-01-10 14:00:00","open",27.4616666666667,32.0711011625769,27.5096035717349,501.571666666667,0.371101162576938,"Winter",3
"2022-01-10 15:00:00","open",25.52,29.0853407492848,26.6012512392439,346.408333333333,2.6146592507152,"Winter",3
"2022-01-10 16:00:00","burrow",22.0916666666667,24.5289730123818,25.1085721525184,163.36,NA,"Winter",3
"2022-01-11 08:00:00","burrow",14.06,17.5699259285963,18.5946343139614,141.683333333333,NA,"Winter",3
"2022-01-11 09:00:00","burrow",18.185,22.7582488062523,20.9000552688034,318.438333333333,NA,"Winter",3
"2022-01-11 10:00:00","open",23.5816666666667,28.797281738163,23.3176586873984,465.976666666667,2.90271826183701,"Winter",3
"2022-01-11 11:00:00","open",27.135,32.6559322100682,24.3068155051759,577.368333333333,0.955932210068209,"Winter",3
"2022-01-11 12:00:00","open",29.4366666666667,34.9811115262285,25.7968268358892,618.285,3.2811115262285,"Winter",3
"2022-01-11 13:00:00","Bush-Small",30.6216666666667,35.7869691325944,26.8015443196222,586.43,2.57598041948305,"Winter",3
"2022-01-11 14:00:00","open",29.43,33.9311824336654,26.3499363214751,493.27,2.23118243366538,"Winter",3
"2022-01-11 15:00:00","open",27.725,31.1778138899102,25.5568562178283,344.231666666667,0.522186110089788,"Winter",3
"2022-01-11 16:00:00","burrow",23.6,25.8918339130019,24.1360897300936,161.336666666667,NA,"Winter",3
"2022-01-12 08:00:00","burrow",13.8283333333333,17.3703187031968,18.5092634657441,147.116666666667,NA,"Winter",3
"2022-01-12 09:00:00","burrow",18.23,22.412256010223,20.723394084921,275.951666666667,NA,"Winter",3
"2022-01-12 10:00:00","burrow",23.57,28.6142154069138,23.3081325742114,450.188333333333,NA,"Winter",3
"2022-01-12 11:00:00","open",27.0866666666667,33.0663496899871,25.1265868780691,602.305,1.36634968998708,"Winter",3
"2022-01-12 12:00:00","open",26.7033333333333,31.143258080244,25.6537639617837,500.466666666667,0.556741919756039,"Winter",3
"2022-01-12 13:00:00","open",27.2966666666667,31.5048258712395,26.8518974144179,524.265,0.19517412876046,"Winter",3
"2022-01-12 14:00:00","open",25.4683333333333,29.1052730989016,26.6546221456849,324.271666666667,2.59472690109844,"Winter",3
"2022-01-12 15:00:00","burrow",24.1216666666667,26.876230098548,25.6136038373401,202.826666666667,NA,"Winter",3
"2022-01-12 16:00:00","burrow",21.5433333333333,23.9394364732628,24.4076959483299,98.165,NA,"Winter",3
"2022-01-13 08:00:00","burrow",13.7466666666667,16.6058893514044,18.9297137374214,83.665,NA,"Winter",3
"2022-01-13 09:00:00","burrow",15.415,18.8121388757956,20.2767205797849,145.261666666667,NA,"Winter",3
"2022-01-13 10:00:00","burrow",17.0616666666667,20.4324305834599,21.5940279974807,180.393333333333,NA,"Winter",3
"2022-01-13 11:00:00","open",23.2,29.1708240853691,23.840024757583,529.79,2.52917591463087,"Winter",3
"2022-01-13 12:00:00","open",26.6183333333333,31.2250802744979,26.512867895705,535.813333333333,0.474919725502119,"Winter",3
