TIMESTAMP,ID,RECORD,Speed_AVG,Direction_AVG,Direction_StDev,Raw_Speed_AVG,Raw_Direction_AVG,Raw_Direction_StDev,Speed_Max,Temperature_Avg,RH_Avg,Dewpoint_T_Avg,Pressure_Avg,Radiation_Avg,Sunshine,IR_Temp_Avg,IRdetectorT_Avg,Batt_Min
28/01/2020 13:00,GS,4818,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.57,17.05,12.97
28/01/2020 13:10,GS,4819,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.57,16.77,12.97
30/01/2020 17:30,GS,4908,0.588,356.6,19.08,0.588,234.6,19.08,1.29,19.77,47.95,8.51,1049.623,2.6,8.44,16.58,18.92,12.8
28/01/2020 13:40,GS,4822,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.64,17.27,12.96
28/01/2020 11:30,GS,4809,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.8,17.61,12.97
28/01/2020 10:00,GS,4800,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.87,17.76,12.95
30/01/2020 17:20,GS,4907,0.842,23.22,18.42,0.842,261.2,18.42,1.47,19.89,47.75,8.57,1049.6,5.43,8.44,16.93,19.25,12.8
28/01/2020 14:30,GS,4827,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.08,17.9,12.96
30/01/2020 8:30,GS,4854,2.238,255.4,22.79,2.238,133.4,22.79,3.78,16.73,54.74,7.673,1054.735,314.5,1.05,17.11,18.09,12.73
28/01/2020 10:30,GS,4803,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.19,18.22,12.96
30/01/2020 17:10,GS,4906,0.452,4.887,92.3,0.452,242.9,92.3,1.16,20.15,46.35,8.46,1049.664,10.49,8.44,17.26,19.61,12.81
28/01/2020 10:10,GS,4801,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.27,18.27,12.95
28/01/2020 12:50,GS,4817,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.31,17.4,12.97
28/01/2020 13:20,GS,4820,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.33,16.89,12.97
28/01/2020 10:20,GS,4802,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.37,18.33,12.96
28/01/2020 12:40,GS,4816,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.42,17.74,12.97
26/02/2020 11:00,GS,4946,1.855,228.1,37.6,1.855,165,37.51,4.02,16.64,62.91,9.64,1003,320.38,0.32,17.5,18.2,12.9
28/01/2020 13:30,GS,4821,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.53,17.14,12.97
